Player_ID,data_source,matches,runs,balls_faced,batting_average,strike_rate,boundary_pct,fifties,hundreds,wickets,economy,bowling_strike_rate,balls_bowled,powerplay_sr,middle_sr,death_sr,powerplay_econ,middle_econ,death_econ
PACE035,real,30,25,28,5.0,89.3,56.0,0,0,38,8.6,17.2,654,0.0,11.1,126.3,8.1,7.9,10.4
PACE036,real,43,4,9,1.3,44.4,0.0,0,0,41,9.7,21.2,871,0.0,0.0,50.0,9.6,8.4,11.5
PACE037,real,20,25,14,8.3,178.6,80.0,0,0,16,11.6,22.2,356,0.0,180.0,177.8,10.8,11.9,15.9
PACE038,real,36,137,102,15.2,134.3,55.5,0,0,33,9.3,21.4,707,0.0,69.2,156.6,8.6,8.6,12.2
PACE039,real,75,152,145,8.0,104.8,57.9,0,0,105,9.2,15.0,1580,0.0,77.6,118.8,10.0,8.3,10.3
PACE040,real,7,4,6,2.0,66.7,0.0,0,0,6,12.6,19.0,114,0.0,50.0,100.0,14.3,11.7,12.0
PACE041,real,19,12,19,12.0,63.2,33.3,0,0,15,9.7,25.5,382,0.0,87.5,45.5,10.6,8.8,11.1
PACE042,real,22,7,17,7.0,41.2,0.0,0,0,33,9.3,14.7,486,0.0,37.5,44.4,9.8,9.0,9.4
PACE043,real,15,77,73,15.4,105.5,62.3,0,0,16,10.2,18.8,300,0.0,78.0,140.6,9.5,9.5,14.7
PACE044,real,6,0,0,0,0.0,0.0,0,0,9,11.1,16.0,144,0.0,0.0,0.0,12.2,8.0,17.5
PACE045,real,8,97,63,32.3,154.0,63.9,0,0,13,9.3,12.5,163,0.0,33.3,191.7,10.3,8.8,10.0
PACE046,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE047,real,14,31,33,5.2,93.9,64.5,0,0,15,10.8,18.2,273,0.0,83.3,100.0,10.9,10.8,10.6
PACE048,real,3,15,11,15,136.4,53.3,0,0,5,7.7,13.2,66,0.0,50.0,185.7,5.4,0.0,11.8
PACE049,real,17,18,25,18.0,72.0,44.4,0,0,25,9.3,15.5,387,0.0,33.3,84.2,9.7,7.6,10.4
PACE050,real,24,178,128,25.4,139.1,67.4,0,0,25,9.7,19.3,483,0.0,114.7,166.7,9.2,8.9,13.5
PACE051,real,6,18,14,18.0,128.6,33.3,0,0,4,9.5,24.2,97,0.0,0.0,128.6,6.3,16.1,5.5
